INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
214693511,06/27/2020,01:10:00,BROOKLYN,73,0,,false,,,,25-44,M,BLACK,1007237,183220,40.669551686000034,-73.917137747999959,POINT (-73.91713774799996 40.669551686000034)
208237500,01/20/2020,04:50:00,MANHATTAN,34,0,RESTAURANT/DINER,true,25-44,M,BLACK,45-64,F,WHITE HISPANIC,1006605,254113,40.864136085000041,-73.919180209999979,POINT (-73.91918020999998 40.86413608500004)
208532947,01/26/2020,00:27:00,BRONX,43,0,BAR/NIGHT CLUB,false,25-44,M,WHITE HISPANIC,45-64,M,WHITE HISPANIC,1021853,242624,40.832550421000064,-73.864117787999987,POINT (-73.86411778799999 40.832550421000064)
213724266,05/31/2020,05:06:00,BRONX,46,0,,false,,,,18-24,M,BLACK HISPANIC,1007018,250368,40.853856131000043,-73.917699788999983,POINT (-73.91769978899998 40.85385613100004)
214184454,06/12/2020,22:15:00,QUEENS,105,0,PVT HOUSE,false,,,,45-64,M,BLACK,1049321,181687,40.665134669000054,-73.765448341999956,POINT (-73.76544834199996 40.665134669000054)
210826747,03/10/2020,13:00:00,BRONX,44,0,,false,18-24,M,BLACK HISPANIC,18-24,M,BLACK,1005909,240090,40.825648808000039,-73.921741785999984,POINT (-73.92174178599998 40.82564880800004)
214184466,06/13/2020,02:13:00,MANHATTAN,26,2,MULTI DWELL - PUBLIC HOUS,false,,,,18-24,M,BLACK,996279,235478,40.813008529000058,-73.956545768999945,POINT (-73.95654576899994 40.81300852900006)
214016089,06/09/2020,19:45:00,BROOKLYN,76,2,MULTI DWELL - PUBLIC HOUS,false,,,,25-44,M,BLACK,983234,185295,40.675276877000044,-74.003664241999957,POINT (-74.00366424199996 40.675276877000044)
213099073,05/14/2020,01:03:00,QUEENS,100,0,,false,<18,M,BLACK,18-24,M,WHITE HISPANIC,1036176,153315,40.587346504000038,-73.813048538999965,POINT (-73.81304853899996 40.58734650400004)
211772774,04/06/2020,02:00:00,BROOKLYN,79,0,PVT HOUSE,true,<18,M,BLACK,45-64,M,BLACK,998043,191486,40.692259076000028,-73.950263415999984,POINT (-73.95026341599998 40.69225907600003)
